# Thx to Kaido Järvemets for the Defender Scid Explorer
# SRC: https://docs.kaidojarvemets.com/defender-scid-explorer
SCID,Platform,Configuration Name,Function,Compliant Value,Non-Compliant Value,Cross-Platform SCIDs,Description
"scid-2000","Windows","Turn on Microsoft Defender for Endpoint sensor","EDR","Enabled","Disabled","","Determines whether the Microsoft Defender for Endpoint sensor embedded in Windows collect and process behavioral signals from the operating system and sends this sensor data to your private, isolated, cloud instance of Microsoft Defender for Endpoint"
"scid-2001","Windows","Fix Microsoft Defender for Endpoint sensor data collection","EDR","Working","Issues","scid-6001","The Microsoft Defender for Endpoint service relies on sensor data collection to determine the security state of a machine."
"scid-2002","Windows","Fix Microsoft Defender for Endpoint impaired communications","EDR","Working","Issues","scid-6002","This status indicates that there's limited communication between the machine and the Microsoft Defender for Endpoint service."
"scid-2003","Windows","Turn on Tamper Protection","Antivirus","Enabled","Disabled","","Tamper Protection essentially locks Microsoft Defender for Endpoint and prevents your security settings from being changed through apps and methods such as editing registry values, changing settings through PowerShell cmdlets and editing or removing security settings through group policies. This security control is only applicable for machines with Windows 10, version 1709 or later."
"scid-2010","Windows","Turn on Microsoft Defender Antivirus","Antivirus","Enabled","Disabled","","Determines whether Microsoft Defender Antivirus is configured to run and scan for malware and other potentially unwanted software."
"scid-2011","Windows","Update Microsoft Defender Antivirus definitions","Antivirus","Updated","Outdated","scid-6095","This status indicates that Microsoft Defender Antivirus definitions are not up to date."
"scid-2012","Windows","Turn on real-time protection","Antivirus","Enabled","Disabled","","This status indicates that Microsoft Defender Antivirus real-time protection is disabled or that Microsoft Defender Antivirus is not the primary antivirus solution."
"scid-2013","Windows","Turn on PUA protection in block mode","Antivirus","Enabled","Disabled","","Enabling Potentially Unwanted Application (PUA) protection in block mode will block and automatically quarantine potentially unwanted applications. PUA protection blocking takes effect on endpoint clients after the next signature update or computer restart."
"scid-2014","Windows","Fix Windows Defender Antivirus cloud service connectivity","Antivirus","Working","Issues","","Indicates that a device is failing to communicate with the Windows Defender Antivirus cloud service."
"scid-2016","Windows","Enable cloud-delivered protection","Antivirus","Enabled","Disabled","","Indicates that Microsoft Defender Antivirus cloud-delivered protection is not enabled. Cloud-delivered protection service provides very important protection against malware on your endpoints and across your network. Learn more about cloud-delivered protection"
"scid-2021","Windows","Set controlled folder access to enabled or audit mode","Exploit Guard","Configured","Not Configured","","This status indicated that controlled folder access is disabled. Controlled folder access helps protect files in key system folders from changes made by malicious and suspicious apps, including file-encrypting ransomware malware. Requires Microsoft Defender Antivirus Real-time protection. This security control is only assessed for machines on Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2030","Linux","Update Microsoft Defender for Endpoint core components","EDR","Updated","Outdated","","Indicates that the Microsoft Defender for Endpoint EDR sensor (Windows Server 2012 R2, 2016) or Microsoft Defender for Endpoint agent (Linux, macOS) installed on the machine is not up to date."
"scid-2060","Windows","Set Microsoft Defender SmartScreen app and file checking to block or warn","SmartScreen","Configured","Not Configured","","SmartScreen helps protect PCs by warning users before running potentially malicious programs downloaded from the Internet. This security control is only assessed for machines on Windows 10, version 1703 or later, and Windows Server 2019."
"scid-2061","Windows","Set Microsoft Defender SmartScreen Microsoft Edge site and download checking to block or warn","SmartScreen","Configured","Not Configured","","Microsoft Defender SmartScreen provides warning messages to help protect your employees from potential phishing scams and malicious software. This security control is only assessed for machines on Windows 10, version 1703 or later, and Windows Server 2019."
"scid-2070","Windows","Turn on Microsoft Defender Firewall","Firewall","Enabled","Disabled","","Microsoft Defender Firewall is designed to keep hackers and malicious software from gaining access to your device through a network or the Internet. This security control is only assessed for machines on Windows 10, version 1709 or later, and Windows Server 2008 R2, 2012 R2, 2016 and 2019."
"scid-2071","Windows","Secure Microsoft Defender Firewall domain profile","Firewall","Secure","Not Secure","","Determines whether Microsoft Defender Firewall uses the settings for this profile to filter network traffic for the Domain Network profile. This security control is only assessed for machines on Windows 10, version 1709 or later, and Windows Server 2008 R2, 2012 R2, 2016 and 2019."
"scid-2072","Windows","Secure Microsoft Defender firewall private profile","Firewall","Secure","Not Secure","","Microsoft Defender Firewall is designed to keep hackers and malicious software from gaining access to your device through a network or the Internet. Turn on to have Microsoft Defender Firewall use the settings for the Private Network profile to filter network traffic. This security control is only assessed for machines on Windows 10, version 1709 or later, and Windows Server 2008 R2, 2012 R2, 2016 and 2019."
"scid-2073","Windows","Secure Microsoft Defender Firewall public profile","Firewall","Secure","Not Secure","","Microsoft Defender Firewall is designed to keep hackers and malicious software from gaining access to your device through a network or the Internet. This security control is only assessed for machines on Windows 10, version 1709 or later, and Windows Server 2008 R2, 2012 R2, 2016 and 2019."
"scid-2080","Windows","Turn on Microsoft Defender Credential Guard","Credential Guard","Enabled","Disabled","","Microsoft Defender Credential Guard uses virtualization-based security to isolate secrets so that only privileged system software can access them. This control is assessed on devices running Windows 10, version 1709 or later, and Windows Server 2019. To determine status, the system checks whether Credential Guard is both configured and running, meaning that both SecurityServicesConfigured and SecurityServicesRunning properties return a value of 1 - based on the output of the PowerShell comman..."
"scid-2090","Windows","Encrypt all BitLocker-supported drives","Bitlocker","Encrypted","Not Encrypted","","BitLocker Drive Encryption is a data protection feature that integrates with the operating system and addresses the threats of data theft or exposure from lost, stolen, or inappropriately decommissioned computers. This security control is only assessed for machines on Windows 10, version 1803 or later, and Windows Server 2019."
"scid-2091","Windows","Resume BitLocker protection on all drives","Bitlocker","Compliant","Non-Compliant","","BitLocker Drive Encryption is a data protection feature that integrates with the operating system and addresses the threats of data theft or exposure from lost, stolen, or inappropriately decommissioned computers. This security control is only assessed for machines on Windows 10, version 1803 or later, and Windows Server 2019."
"scid-2093","Windows","Ensure BitLocker drive compatibility","Bitlocker","Compliant","Non-Compliant","","BitLocker Drive Encryption is a data protection feature that integrates with the operating system and addresses the threats of data theft or exposure from lost, stolen, or inappropriately decommissioned computers. This security control is only assessed for machines on Windows 10, version 1803 or later, and Windows Server 2019."
"scid-2500","Windows","Block executable content from email client and webmail","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule blocks executable and script files (such as .exe, .dll, .scr, .ps, .vbs, .js) from launching from email in Microsoft Outlook or Outlook.com and other popular webmail providers. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2501","Windows","Block all Office applications from creating child processes","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule blocks Office apps from creating child processes. This includes Word, Excel, PowerPoint, OneNote, and Access. Note: Some legitimate line-of-business applications might also use behaviors like this, including spawning a command prompt or using PowerShell to configure registry settings. This security control is only a..."
"scid-2502","Windows","Block Office applications from creating executable content","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule prevents Office apps, including Word, Excel, and PowerPoint, from creating executable content. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2503","Windows","Block Office applications from injecting code into other processes","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule blocks code injection attempts from Office apps into other processes. There are no known legitimate business purposes for using code injection This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2504","Windows","Block JavaScript or VBScript from launching downloaded executable content","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule prevents JavaScript and VBScript from being allowed to launch apps. Note: This isn't a common line-of-business use, but line-of-business applications sometimes use scripts to download and launch installers. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Serv..."
"scid-2505","Windows","Block execution of potentially obfuscated scripts","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule prevents scripts that appear to be obfuscated from running. It uses the AntiMalwareScanInterface (AMSI) to determine if a script is potentially obfuscated, and then blocks such a script, or blocks scripts when an attempt is made to access them. This security control is only applicable for machines with Windows 10, v..."
"scid-2506","Windows","Block Win32 API calls from Office macros","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule prevents using Win32 APIs in VBA macros. Note: Most organizations don't use this functionality, but might still rely on using other macro capabilities. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2507","Windows","Block executable files from running unless they meet a prevalence, age, or trusted list criterion","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule blocks executable files (such as .exe, .dll, .scr) from launching unless they either meet prevalence or age criteria, or they're in a trusted list or exclusion list. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2508","Windows","Use advanced protection against ransomware","Attack Surface Reduction","Compliant","Non-Compliant","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule scans executable files entering the system to determine whether they're trustworthy. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2509","Windows","Block credential stealing from the Windows local security authority subsystem (lsass.exe)","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule locks down LSASS. This security control is only applicable for machines with LSA protection not running."
"scid-2510","Windows","Block process creations originating from PSExec and WMI commands","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule blocks processes through PsExec and WMI commands from running. Warning: This rule is incompatible with management through System Center Configuration Manager because this rule blocks WMI commands the SCCM client uses to function correctly. This security control is only applicable for machines with Windows 10, versio..."
"scid-2511","Windows","Block untrusted and unsigned processes that run from USB","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule allows admins to prevent unsigned or untrusted executable and script files (such as .exe, .dll, .scr, .ps, .vbs, .js) from running from USB removable drives, including SD cards. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
"scid-2512","Windows","Block Office communication application from creating child processes","Attack Surface Reduction","Blocked","Allowed","","Attack Surface Reduction (ASR) rules are the most effective method for blocking the most common attack techniques being used in cyber attacks and malicious software. This ASR rule prevents Outlook from creating child processes, while still allowing legitimate Outlook functions. This security control is only applicable for machines with Windows 10, version 1709 or later, and Windows Server 2019."
